Sample,Area,Year,Month,Month2,LCFmm,TLmm,TLcm,leng,Sex,opaque,Edge,Agemonths,Agemonths2,AgeYears,AdjAge,AdjAgeBirthDate,Cohorts,YrClass
SW990614-2,sw,1999,June,6,195,231,23,25,i,-9,na,-9,-9,-9,2.8,2,3,1996
SW990614-3,sw,1999,June,6,196,232,23,25,i,-9,na,-9,-9,-9,2.8,2,3,1996
SW990616-1,sw,1999,June,6,715,844,84,85,f,-9,na,-9,-9,-9,18.8,18,19,1980
SW990614-1,sw,1999,June,6,726,857,86,85,m,-9,na,-9,-9,-9,19.8,19,20,1979
SW990615-1,sw,1999,June,6,749,884,88,90,m,-9,na,-9,-9,-9,21.8,21,22,1977
sw990323-1,sw,1999,March,3,438,517,52,50,m,-9,na,-9,-9,-9,4.6,4,5,1994
sw990328-3,sw,1999,March,3,397,469,47,45,m,-9,na,-9,-9,-9,5.6,5,6,1993
sw990328-4,sw,1999,March,3,428,505,51,50,f,-9,na,-9,-9,-9,5.6,5,6,1993
SW990328-6,sw,1999,March,3,418,493,49,50,f,-9,na,-9,-9,-9,5.6,5,6,1993
SW990330-2,sw,1999,March,3,398,470,47,45,f,-9,na,-9,-9,-9,5.6,5,6,1993
SW990330-3,sw,1999,March,3,402,475,47,45,f,-9,na,-9,-9,-9,5.6,5,6,1993
SW990328-8,sw,1999,March,3,408,482,48,50,m,-9,na,-9,-9,-9,6.6,6,7,1992
SW990328-7,sw,1999,March,3,439,518,52,50,f,-9,na,-9,-9,-9,7.6,7,8,1991
SW990331-1,sw,1999,March,3,745,879,88,90,f,-9,na,-9,-9,-9,13.6,13,14,1985
sw990328-9,sw,1999,March,3,720,850,85,85,m,-9,na,-9,-9,-9,26.6,26,27,1972
sw991124-11,sw,1999,Nov,11,220,260,26,25,m,-9,na,-9,-9,-9,3.3,3,3,1996
sw991124-12,sw,1999,Nov,11,220,260,26,25,m,-9,na,-9,-9,-9,3.3,3,3,1996
sw991124-13,sw,1999,Nov,11,204,241,24,25,m,-9,na,-9,-9,-9,3.3,3,3,1996
sw991124-14,sw,1999,Nov,11,225,266,27,25,m,-9,na,-9,-9,-9,3.3,3,3,1996
sw991124-18,sw,1999,Nov,11,219,259,26,25,f,-9,na,-9,-9,-9,3.3,3,3,1996
sw991006-5,sw,1999,Oct,10,659,778,78,80,m,-9,na,-9,-9,-9,9.2,9,9,1990
sw991006-9,sw,1999,Oct,10,614,725,72,70,m,-9,na,-9,-9,-9,9.2,9,9,1990
sw991006-1,sw,1999,Oct,10,654,772,77,75,f,-9,na,-9,-9,-9,11.2,11,11,1988
SW990901-30,sw,1999,Sept,9,520,614,61,60,m,-9,na,-9,-9,-9,9.1,9,9,1990
SW990901-31,sw,1999,Sept,9,630,743,74,75,f,-9,na,-9,-9,-9,9.1,9,9,1990
SW990901-32,sw,1999,Sept,9,634,748,75,75,m,-9,na,-9,-9,-9,9.1,9,9,1990
SW990901-38,sw,1999,Sept,9,570,673,67,65,f,-9,na,-9,-9,-9,9.1,9,9,1990
SW990902-21,sw,1999,Sept,9,671,792,79,80,m,-9,na,-9,-9,-9,9.1,9,9,1990
sw990902-29,sw,1999,Sept,9,671,792,79,80,m,-9,na,-9,-9,-9,9.1,9,9,1990
SW990902-3,sw,1999,Sept,9,600,708,71,70,m,-9,na,-9,-9,-9,9.1,9,9,1990
SW990902-31,sw,1999,Sept,9,698,824,82,80,m,-9,na,-9,-9,-9,9.1,9,9,1990
SW990901-16,sw,1999,Sept,9,610,720,72,70,m,-9,na,-9,-9,-9,10.1,10,10,1989
SW990901-21,sw,1999,Sept,9,620,732,73,75,m,-9,na,-9,-9,-9,10.1,10,10,1989
SW990901-37,sw,1999,Sept,9,558,659,66,65,f,-9,na,-9,-9,-9,10.1,10,10,1989
SW990902-27,sw,1999,Sept,9,675,796,80,80,m,-9,na,-9,-9,-9,10.1,10,10,1989
SW990902-33,sw,1999,Sept,9,599,707,71,70,m,-9,na,-9,-9,-9,10.1,10,10,1989
SW990901-35,sw,1999,Sept,9,669,789,79,80,m,-9,na,-9,-9,-9,13.1,13,13,1986
sw990901-01,sw,1999,Sept,9,683,806,81,80,m,-9,na,-9,-9,-9,15.1,15,15,1984
SW990901-33,sw,1999,Sept,9,710,838,84,85,m,-9,na,-9,-9,-9,15.1,15,15,1984
SW990901-29,sw,1999,Sept,9,779,919,92,90,m,-9,na,-9,-9,-9,20.1,20,20,1979
sw990901-34,sw,1999,Sept,9,742,875,88,90,m,-9,na,-9,-9,-9,28.1,28,28,1971
SW000403-8,sw,2000,April,4,397,469,47,45,m,-9,na,-9,-9,-9,3.7,3,4,1996
sw000401-1,sw,2000,April,4,388,458,46,45,f,-9,na,-9,-9,-9,4.7,4,5,1995
sw000401-3,sw,2000,April,4,430,508,51,50,f,-9,na,-9,-9,-9,4.7,4,5,1995
sw000401-4,sw,2000,April,4,410,484,48,50,f,-9,na,-9,-9,-9,4.7,4,5,1995
sw000403-6,sw,2000,April,4,406,479,48,50,m,-9,na,-9,-9,-9,4.7,4,5,1995
SW000405-4,sw,2000,April,4,405,478,48,50,m,-9,na,-9,-9,-9,4.7,4,5,1995
sw000403-2,sw,2000,April,4,505,596,60,60,f,-9,na,-9,-9,-9,6.7,6,7,1993
SW000405-15,sw,2000,April,4,490,578,58,60,f,-9,na,-9,-9,-9,6.7,6,7,1993
sw000405-1,sw,2000,April,4,568,670,67,65,m,-9,na,-9,-9,-9,9.7,9,10,1990
sw000405-6,sw,2000,April,4,560,661,66,65,f,-9,na,-9,-9,-9,9.7,9,10,1990
sw000403-1,sw,2000,April,4,780,920,92,90,f,-9,na,-9,-9,-9,25.7,25,26,1974
SW000404-1,sw,2000,April,4,728,859,86,85,m,-9,na,-9,-9,-9,26.7,26,27,1973
SW000830-16,sw,2000,Aug,8,244,288,29,30,f,-9,na,-9,-9,-9,3,3,3,1997
sw000830-21,sw,2000,Aug,8,267,315,32,30,f,-9,na,-9,-9,-9,3,3,3,1997
SW000830-25,sw,2000,Aug,8,227,268,27,25,f,-9,na,-9,-9,-9,3,3,3,1997
sw000831-37,sw,2000,Aug,8,203,240,24,25,m,-9,na,-9,-9,-9,3,3,3,1997
SW000830-13,sw,2000,Aug,8,267,315,32,30,f,-9,na,-9,-9,-9,4,4,4,1996
sw000830-14,sw,2000,Aug,8,242,286,29,30,m,-9,na,-9,-9,-9,4,4,4,1996
sw000830-15,sw,2000,Aug,8,252,298,30,30,f,-9,na,-9,-9,-9,4,4,4,1996
SW000830-17,sw,2000,Aug,8,260,307,31,30,m,-9,na,-9,-9,-9,4,4,4,1996
sw000830-18,sw,2000,Aug,8,244,288,29,30,m,-9,na,-9,-9,-9,4,4,4,1996
sw000830-22,sw,2000,Aug,8,265,313,31,30,m,-9,na,-9,-9,-9,4,4,4,1996
sw000830-24,sw,2000,Aug,8,296,350,35,35,m,-9,na,-9,-9,-9,4,4,4,1996
sw000831-13,sw,2000,Aug,8,360,425,43,45,f,-9,na,-9,-9,-9,4,4,4,1996
SW000831-18,sw,2000,Aug,8,380,449,45,45,m,-9,na,-9,-9,-9,4,4,4,1996
SW000831-40,sw,2000,Aug,8,332,392,39,40,f,-9,na,-9,-9,-9,4,4,4,1996
SW000831-41,sw,2000,Aug,8,300,354,35,35,m,-9,na,-9,-9,-9,4,4,4,1996
SW000831-42,sw,2000,Aug,8,315,372,37,35,f,-9,na,-9,-9,-9,4,4,4,1996
SW000831-43,sw,2000,Aug,8,289,341,34,35,m,-9,na,-9,-9,-9,4,4,4,1996
SW000830-10,sw,2000,Aug,8,433,511,51,50,f,-9,na,-9,-9,-9,5,5,5,1995
SW000830-11,sw,2000,Aug,8,415,490,49,50,m,-9,na,-9,-9,-9,5,5,5,1995
SW000831-12,sw,2000,Aug,8,528,623,62,60,m,-9,na,-9,-9,-9,5,5,5,1995
sw000831-17,sw,2000,Aug,8,422,498,50,50,f,-9,na,-9,-9,-9,5,5,5,1995
sw000831-22,sw,2000,Aug,8,569,671,67,65,m,-9,na,-9,-9,-9,5,5,5,1995
